N,d,alpha,energy,variance
500,1,0.1,648.386,2020.25
500,1,0.2,361.826,311.766
500,1,0.3,284.867,60.1494
500,1,0.4,260.772,16.3659
500,1,0.5,250,0
500,1,0.6,240.914,1.39226
500,1,0.7,232.612,13.272
500,1,0.8,216.397,5.67235
500,1,0.9,197.644,44.2141
500,1,1,175.245,3.14026
