N,d,alpha,energy,variance
1,1,0.1,1.26801,2.94505
1,1,0.2,0.727667,0.577778
1,1,0.3,0.573068,0.151681
1,1,0.4,0.510791,0.0235889
1,1,0.5,0.5,0
1,1,0.6,0.507845,0.0173274
1,1,0.7,0.530371,0.0560174
1,1,0.8,0.549711,0.123097
1,1,0.9,0.587135,0.197657
1,1,1,0.636262,0.262908
