N,d,alpha,energy,variance
500,2,0.1,1295.26,5666.94
500,2,0.2,727.027,740.55
500,2,0.3,567.242,143.365
500,2,0.4,512.173,25.8604
500,2,0.5,500,0
500,2,0.6,508.598,16.812
500,2,0.7,528.188,60.2068
500,2,0.8,556.436,123.251
500,2,0.9,588.396,182.967
500,2,1,625.373,275.937
