N,d,alpha,energy,variance
100,3,0.1,262.394,8006.37
100,3,0.2,263.34,1733.27
100,3,0.3,179.03,115.403
100,3,0.4,155.875,19.0675
100,3,0.5,150,0
100,3,0.6,151.634,7.70562
100,3,0.7,158.313,7.75879
100,3,0.8,162.9,43.3908
100,3,0.9,177.334,120.585
100,3,1,187.805,34.7915
