N,d,alpha,energy,variance
100,2,0.1,257.985,561.505
100,2,0.2,145.202,115.915
100,2,0.3,113.291,28.8691
100,2,0.4,102.753,5.39851
100,2,0.5,100,0
100,2,0.6,101.738,3.13568
100,2,0.7,105.815,11.2473
100,2,0.8,111.234,24.9277
100,2,0.9,118.149,39.4004
100,2,1,124.776,57.5936
