N,d,alpha,energy,variance
10,1,0.1,12.8885,26.2732
10,1,0.2,7.34746,5.66799
10,1,0.3,5.67788,1.30663
10,1,0.4,5.12322,0.239234
10,1,0.5,5,0
10,1,0.6,5.07122,0.18681
10,1,0.7,5.31639,0.552922
10,1,0.8,5.58078,1.19363
10,1,0.9,5.94185,1.94179
10,1,1,6.24634,2.76424
