N,d,alpha,energy,variance
100,1,0.1,128.105,343.561
100,1,0.2,72.1945,51.0579
100,1,0.3,56.8715,14.7906
100,1,0.4,51.2458,2.57541
100,1,0.5,50,0
100,1,0.6,50.8231,1.65528
100,1,0.7,52.7368,5.64467
100,1,0.8,55.5498,11.7923
100,1,0.9,58.8573,19.5418
100,1,1,62.8327,27.3752
