N,d,alpha,energy,variance
10,3,0.1,38.2232,73.0356
10,3,0.2,21.8638,15.4696
10,3,0.3,17.0941,4.34903
10,3,0.4,15.421,0.809284
10,3,0.5,15,0
10,3,0.6,15.2211,0.504356
10,3,0.7,15.8394,1.80475
10,3,0.8,16.6976,3.57635
10,3,0.9,17.6706,5.42899
10,3,1,18.9048,8.01646
