MC,N,d,alpha,energy,variance
10,500,3,0.1,1656.24,119112
10,500,3,0.2,1127.86,10563.5
10,500,3,0.3,848.837,419.127
10,500,3,0.4,777.558,39.6829
10,500,3,0.5,750,0
10,500,3,0.6,762.291,27.4238
10,500,3,0.7,788.838,232.56
10,500,3,0.8,833.756,151.79
10,500,3,0.9,840.467,266.344
10,500,3,1,898.755,368.038
