N,d,alpha,energy,variance
10,2,0.1,25.9586,57.6027
10,2,0.2,14.4863,10.9786
10,2,0.3,11.3299,2.79628
10,2,0.4,10.2577,0.502447
10,2,0.5,10,0
10,2,0.6,10.1629,0.339538
10,2,0.7,10.5699,1.17374
10,2,0.8,11.1264,2.35583
10,2,0.9,11.7773,3.90983
10,2,1,12.5416,5.55646
