N,d,alpha,energy,variance
1,3,0.1,3.63859,6.29841
1,3,0.2,2.35348,2.25665
1,3,0.3,1.60965,0.353284
1,3,0.4,1.53032,0.0725123
1,3,0.5,1.5,0
1,3,0.6,1.52936,0.0501902
1,3,0.7,1.59042,0.17481
1,3,0.8,1.70931,0.318533
1,3,0.9,1.76741,0.603216
1,3,1,1.87859,0.848188
