MC,N,d,alpha,energy,variance
1000,10,3,0.1,38.5493,85.9152
1000,10,3,0.45798,15.0466,0.109048
1000,10,3,0.463166,15.0515,0.0935266
1000,10,3,0.465682,15.0562,0.0892734
1000,10,3,0.468087,15.0565,0.079692
1000,10,3,0.470116,15.0552,0.0626895
1000,10,3,0.472149,15.0386,0.0589384
1000,10,3,0.474176,15.0259,0.0548755
1000,10,3,0.475857,15.0157,0.0422989
1000,10,3,0.477642,15.0245,0.0420496
1000,10,3,0.47913,15.0221,0.0325386
1000,10,3,0.48036,15.0115,0.0251179
1000,10,3,0.481652,15.0029,0.0248947
1000,10,3,0.482807,15.0108,0.0207919
1000,10,3,0.48381,15.0056,0.0169572
1000,10,3,0.484796,15.0211,0.0157014
1000,10,3,0.485693,14.9946,0.0134328
1000,10,3,0.486501,15.0024,0.011383
1000,10,3,0.487358,14.9967,0.0114206
1000,10,3,0.488188,15.0034,0.0103536
1000,10,3,0.488958,15.0078,0.00898782
1000,10,3,0.489692,15.005,0.00802086
1000,10,3,0.490296,15.0035,0.00615774
1000,10,3,0.490814,14.9987,0.00498028
1000,10,3,0.49137,14.9968,0.00506292
1000,10,3,0.49187,15.0004,0.00427968
1000,10,3,0.492341,15.0027,0.00379736
1000,10,3,0.492797,15.0006,0.00346751
1000,10,3,0.493259,15.0003,0.00329708
1000,10,3,0.493663,15.0014,0.00270509
1000,10,3,0.494054,14.9975,0.00246737
1000,10,3,0.494411,15.0011,0.00210528
