MC,N,d,alpha,energy,variance
100,500,3,0.1,1933.44,12250.3
100,500,3,0.151043,1340.6,4357.62
100,500,3,0.184979,1219.62,3261.28
100,500,3,0.199521,1140.32,3137.79
100,500,3,0.21765,1079.23,3810.76
100,500,3,0.232158,1004.3,2939.71
100,500,3,0.241452,970.631,1822.58
100,500,3,0.25426,947.858,2455.14
100,500,3,0.268526,912.199,2644.23
100,500,3,0.282418,888.468,2471.38
100,500,3,0.293322,864.744,1856.32
100,500,3,0.30625,850.672,2119.61
100,500,3,0.319955,825.411,2140.88
100,500,3,0.331781,811.208,1746
100,500,3,0.344247,801.64,1744.26
100,500,3,0.355084,793.719,1424.97
100,500,3,0.365043,778.757,1234.03
100,500,3,0.375583,773.681,1230.54
100,500,3,0.385703,769.089,1102.4
100,500,3,0.394988,762.823,939.913
100,500,3,0.403399,759.355,790.507
100,500,3,0.411497,755.885,706.717
100,500,3,0.419138,752.371,616.382
100,500,3,0.425521,750.611,474.455
100,500,3,0.432312,751.967,468.112
100,500,3,0.438275,749.462,376.275
100,500,3,0.443512,747.994,303.315
100,500,3,0.449537,747.863,321.127
100,500,3,0.454779,747.422,251.183
100,500,3,0.459007,747.108,182.531
100,500,3,0.462858,745.937,151.386
100,500,3,0.465995,747.583,112.184
100,500,3,0.46895,746.613,97.0769
100,500,3,0.471497,747.339,76.6509
100,500,3,0.474421,746.247,80.9492
100,500,3,0.476791,747.059,59.0636
100,500,3,0.478888,745.939,47.5521
100,500,3,0.480796,746.987,39.4372
100,500,3,0.482923,747.685,40.0493
100,500,3,0.484793,748.063,31.4018
100,500,3,0.486418,748.096,24.3332
100,500,3,0.48787,747.917,19.4538
100,500,3,0.489128,747.64,15.0694
100,500,3,0.490337,748.322,13.0016
100,500,3,0.491424,748.621,10.4003
100,500,3,0.492092,748.32,5.68094
100,500,3,0.492885,748.786,6.22569
100,500,3,0.493627,748.932,5.23523
100,500,3,0.494251,748.996,3.95262
100,500,3,0.494827,748.968,3.29143
100,500,3,0.495334,749.064,2.61046
100,500,3,0.495775,749.348,2.0502
100,500,3,0.496185,749.375,1.72613
100,500,3,0.496573,749.316,1.47088
100,500,3,0.49696,749.476,1.32254
100,500,3,0.49724,749.509,0.848771
100,500,3,0.497488,749.475,0.682262
100,500,3,0.497754,749.574,0.667078
100,500,3,0.49799,749.555,0.530211
100,500,3,0.498164,749.611,0.34742
100,500,3,0.498341,749.69,0.324712
100,500,3,0.498476,749.669,0.224164
100,500,3,0.498609,749.713,0.20262
100,500,3,0.49874,749.772,0.181648
100,500,3,0.498876,749.763,0.171241
100,500,3,0.499001,749.845,0.139809
100,500,3,0.499095,749.814,0.0943729
100,500,3,0.499188,749.821,0.0837683
100,500,3,0.499274,749.867,0.0696743
100,500,3,0.499351,749.886,0.0562061
100,500,3,0.499419,749.899,0.0439166
100,500,3,0.499476,749.911,0.0331284
100,500,3,0.499519,749.908,0.0224744
100,500,3,0.499565,749.914,0.0219403
100,500,3,0.49962,749.935,0.0241026
100,500,3,0.499663,749.94,0.0163634
100,500,3,0.499701,749.946,0.0129593
100,500,3,0.49973,749.955,0.00859665
100,500,3,0.499761,749.961,0.00826506
100,500,3,0.499786,749.961,0.0059421
100,500,3,0.499805,749.959,0.00406304
100,500,3,0.499824,749.968,0.00383459
100,500,3,0.499842,749.969,0.00314707
100,500,3,0.499859,749.978,0.00261571
100,500,3,0.499873,749.975,0.00202376
100,500,3,0.499887,749.983,0.00179298
100,500,3,0.4999,749.977,0.00140154
100,500,3,0.499909,749.981,0.000879417
100,500,3,0.499918,749.983,0.000879862
100,500,3,0.499926,749.984,0.000670605
100,500,3,0.499935,749.987,0.000614618
100,500,3,0.499942,749.988,0.000452113
100,500,3,0.499947,749.988,0.000283829
100,500,3,0.499953,749.991,0.000331645
100,500,3,0.499958,749.991,0.000239447
100,500,3,0.499963,749.994,0.00019703
100,500,3,0.499967,749.993,0.000156612
100,500,3,0.49997,749.993,0.0001139
